trial_number,trial_type,cycle_number,first_color,first_orientation,correct_response,visual_field,spatial_frequency,first_stim,second_stim,stimulus_frame_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_reversal,staircase_reversal_num,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,threshold_low1,threshold_low2,threshold_low3,threshold_low4,threshold_low6,threshold_high1,threshold_high2,threshold_high3,threshold_high4,threshold_high6,frame_rate,participant,psychopyVersion,frame_rate_detected
841,"['low', 6]",6,black,45,right,down,low,black_low_45_down,white_low_135_down,1,right,1.010532,1,1,79,1,FALSE,14,1,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
842,"['high', 2]",2,black,45,right,down,high,black_high_45_down,white_high_135_down,10,right,0.2747392,1,10,74,1,FALSE,25,1,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
843,"['low', 6]",6,white,45,left,up,low,white_low_45_up,black_low_135_up,1,right,0.5360871,0,1,80,1,FALSE,14,1,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
844,"['high', 2]",2,black,135,left,down,high,black_high_135_down,white_high_45_down,9,left,0.222717,1,9,75,1,FALSE,25,1,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
845,"['high', 4]",4,white,45,left,up,high,white_high_45_up,black_high_135_up,7,left,0.2852942,1,7,73,1,TRUE,30,1,1,1,TRUE,TRUE,high_4,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
846,"['low', 2]",2,white,135,right,up,low,white_low_135_up,black_low_45_up,5,right,0.3202871,1,5,81,1,TRUE,30,1,1,1,TRUE,TRUE,low_2,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
847,"['low', 3]",3,black,135,left,up,low,black_low_135_up,white_low_45_up,3,left,0.1578231,1,3,83,1,FALSE,28,1,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
848,"['low', 6]",6,black,45,right,up,low,black_low_45_up,white_low_135_up,4,right,0.0913317,1,4,81,0,TRUE,15,1,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
849,"['high', 2]",2,black,135,left,up,high,black_high_135_up,white_high_45_up,8,right,0.1592263,0,8,76,1,FALSE,25,1,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
850,"['low', 1]",1,white,45,left,up,low,white_low_45_up,black_low_135_up,10,left,0.1160383,1,10,78,1,TRUE,30,1,1,1,TRUE,TRUE,low_1,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
