trial_number,trial_type,cycle_number,first_color,first_orientation,correct_response,visual_field,spatial_frequency,first_stim,second_stim,stimulus_frame_duration,fixation,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_reversal,staircase_reversal_num,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,threshold_low1,threshold_low2,threshold_low3,threshold_low4,threshold_low6,threshold_high1,threshold_high2,threshold_high3,threshold_high4,threshold_high6,frame_rate,participant,psychopyVersion,frame_rate_detected
742,"['low', 6]",6,black,135,left,up,low,black_low_135_up,white_low_45_up,4,1.621069683,left,0.2944533,1,4,74,0,TRUE,23,1,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
743,"['low', 4]",4,black,135,left,down,low,black_low_135_down,white_low_45_down,1,1.058307756,right,0.5894546,0,1,71,1,FALSE,22,1,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
744,"['low', 3]",3,black,45,right,up,low,black_low_45_up,white_low_135_up,4,1.438407945,right,0.1775471,1,4,71,0,TRUE,27,1,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
745,"['low', 6]",6,black,45,right,up,low,black_low_45_up,white_low_135_up,3,1.620012415,right,0.1910038,1,3,75,1,TRUE,24,1,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
746,"['high', 1]",1,black,45,right,up,high,black_high_45_up,white_high_135_up,20,1.789359252,right,0.3063458,1,20,76,1,FALSE,29,1,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
747,"['high', 6]",6,black,135,left,up,high,black_high_135_up,white_high_45_up,14,1.243972297,left,0.0681081,1,14,70,1,FALSE,27,1,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
748,"['high', 1]",1,white,45,left,down,high,white_high_45_down,black_high_135_down,19,1.971905113,left,0.51095,1,19,77,1,FALSE,29,1,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
749,"['high', 2]",2,white,135,right,down,high,white_high_135_down,black_high_45_down,15,1.171521937,right,0.3174613,1,15,77,1,FALSE,29,1,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
750,"['high', 6]",6,white,45,left,up,high,white_high_45_up,black_high_135_up,13,1.258301627,left,0.5716923,1,13,71,1,FALSE,27,1,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
751,"['low', 2]",2,black,135,left,down,low,black_low_135_down,white_low_45_down,4,1.928803423,right,0.3566905,0,4,81,0,TRUE,27,1,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
752,"['high', 3]",3,white,45,left,up,high,white_high_45_up,black_high_135_up,14,1.564139764,left,1.4262019,1,14,62,1,TRUE,30,1,1,1,TRUE,TRUE,high_3,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
753,"['high', 6]",6,black,135,left,down,high,black_high_135_down,white_high_45_down,12,1.160227362,left,0.3288592,1,12,72,1,FALSE,27,1,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
754,"['low', 3]",3,black,45,right,up,low,black_low_45_up,white_low_135_up,3,1.523025134,right,0.1696738,1,3,72,1,TRUE,28,1,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
755,"['high', 4]",4,white,135,right,up,high,white_high_135_up,black_high_45_up,15,1.373653316,right,0.3788084,1,15,69,0,FALSE,25,1,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
756,"['high', 4]",4,white,135,right,up,high,white_high_135_up,black_high_45_up,14,1.112726584,right,0.2846536,1,14,70,1,TRUE,26,1,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
757,"['low', 2]",2,white,45,left,up,low,white_low_45_up,black_low_135_up,7,1.347620649,left,0.3741169,1,7,82,0,FALSE,27,1,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
758,"['low', 4]",4,white,45,left,down,low,white_low_45_down,black_low_135_down,4,1.398267674,left,0.5160702,1,4,72,0,TRUE,23,1,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
759,"['low', 4]",4,white,135,right,down,low,white_low_135_down,black_low_45_down,3,1.553269863,right,0.5507838,1,3,73,1,TRUE,24,1,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
760,"['low', 3]",3,white,45,left,down,low,white_low_45_down,black_low_135_down,2,1.183120683,left,1.8055592,1,2,73,1,FALSE,28,1,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
761,"['high', 6]",6,white,135,right,up,high,white_high_135_up,black_high_45_up,11,1.885650616,right,0.4312423,1,11,73,1,FALSE,27,1,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
762,"['low', 3]",3,black,45,right,down,low,black_low_45_down,white_low_135_down,1,1.532758662,right,0.9456897,1,1,74,1,FALSE,28,1,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
763,"['high', 1]",1,black,135,left,up,high,black_high_135_up,white_high_45_up,18,1.103234438,right,0.7603233,0,18,78,1,FALSE,29,1,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
764,"['low', 4]",4,black,135,left,up,low,black_low_135_up,white_low_45_up,2,1.844618702,left,0.6524146,1,2,74,1,FALSE,24,1,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
765,"['low', 6]",6,white,135,right,up,low,white_low_135_up,black_low_45_up,2,1.063054701,right,1.0488636,1,2,76,1,FALSE,24,1,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
766,"['high', 6]",6,black,135,left,up,high,black_high_135_up,white_high_45_up,10,1.904901881,left,0.4618717,1,10,74,1,FALSE,27,1,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
767,"['high', 1]",1,black,45,right,down,high,black_high_45_down,white_high_135_down,21,1.293490568,left,0.8742436,0,21,79,0,TRUE,30,1,1,1,TRUE,TRUE,high_1,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
768,"['high', 4]",4,black,45,right,down,high,black_high_45_down,white_high_135_down,13,1.600398259,right,0.5167969,1,13,71,1,FALSE,26,1,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
769,"['low', 6]",6,white,135,right,up,low,white_low_135_up,black_low_45_up,1,1.425258589,right,0.6391605,1,1,77,1,FALSE,24,1,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
770,"['low', 2]",2,white,135,right,down,low,white_low_135_down,black_low_45_down,6,1.749891193,right,0.3594646,1,6,83,1,TRUE,28,1,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
771,"['high', 4]",4,white,135,right,up,high,white_high_135_up,black_high_45_up,12,1.614931895,right,0.334441,1,12,72,1,FALSE,26,1,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
772,"['high', 3]",3,black,45,right,down,high,black_high_45_down,white_high_135_down,14,1.975033279,left,0.2893146,0,14,62,1,TRUE,30,1,1,1,TRUE,TRUE,high_3,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
773,"['low', 1]",1,black,45,right,up,low,black_low_45_up,white_low_135_up,21,1.85417906,right,0.5262597,1,21,67,1,TRUE,30,1,1,1,TRUE,TRUE,low_1,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
774,"['low', 2]",2,white,45,left,up,low,white_low_45_up,black_low_135_up,5,1.40098633,left,0.6873685,1,5,84,1,FALSE,28,1,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
775,"['low', 4]",4,black,45,right,up,low,black_low_45_up,white_low_135_up,1,1.618514776,right,0.6074444,1,1,75,1,FALSE,24,1,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
776,"['low', 1]",1,black,45,right,up,low,black_low_45_up,white_low_135_up,21,1.115457621,right,0.6558391,1,21,67,1,TRUE,30,1,1,1,TRUE,TRUE,low_1,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
777,"['high', 4]",4,white,135,right,up,high,white_high_135_up,black_high_45_up,11,1.767101924,right,0.3160553,1,11,73,1,FALSE,26,1,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
778,"['high', 1]",1,black,135,left,up,high,black_high_135_up,white_high_45_up,21,1.471257096,left,0.7578757,1,21,79,0,TRUE,30,1,1,1,TRUE,TRUE,high_1,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
779,"['high', 3]",3,black,135,left,up,high,black_high_135_up,white_high_45_up,14,1.747081965,left,0.4012255,1,14,62,1,TRUE,30,1,1,1,TRUE,TRUE,high_3,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
780,"['high', 4]",4,white,135,right,up,high,white_high_135_up,black_high_45_up,10,1.395638849,right,0.2567592,1,10,74,1,FALSE,26,1,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
781,"['low', 1]",1,white,135,right,up,low,white_low_135_up,black_low_45_up,21,1.134489274,right,0.3614768,1,21,67,1,TRUE,30,1,1,1,TRUE,TRUE,low_1,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
782,"['low', 6]",6,black,135,left,up,low,black_low_135_up,white_low_45_up,1,1.893351996,left,0.4253188,1,1,78,1,FALSE,24,1,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
783,"['high', 6]",6,black,45,right,down,high,black_high_45_down,white_high_135_down,9,1.879838954,left,0.3680214,0,9,75,1,FALSE,27,1,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
784,"['low', 2]",2,white,45,left,up,low,white_low_45_up,black_low_135_up,4,1.028316086,left,0.322042,1,4,85,1,FALSE,28,1,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
785,"['high', 4]",4,black,135,left,up,high,black_high_135_up,white_high_45_up,9,1.986134008,right,0.1887452,0,9,75,1,FALSE,26,1,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
786,"['low', 4]",4,black,135,left,down,low,black_low_135_down,white_low_45_down,1,1.980962834,right,0.4494077,0,1,76,1,FALSE,24,1,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
787,"['low', 4]",4,black,135,left,up,low,black_low_135_up,white_low_45_up,4,1.777763662,left,0.3036703,1,4,77,0,TRUE,25,1,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
788,"['high', 6]",6,white,45,left,down,high,white_high_45_down,black_high_135_down,12,1.744097678,left,1.1204502,1,12,76,0,TRUE,28,1,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
789,"['low', 1]",1,white,45,left,down,low,white_low_45_down,black_low_135_down,21,1.623981841,left,0.2756463,1,21,67,1,TRUE,30,1,1,1,TRUE,TRUE,low_1,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
790,"['high', 3]",3,black,45,right,up,high,black_high_45_up,white_high_135_up,14,1.98204759,left,2.0729713,0,14,62,1,TRUE,30,1,1,1,TRUE,TRUE,high_3,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
791,"['high', 3]",3,black,135,left,up,high,black_high_135_up,white_high_45_up,14,1.65658114,right,0.6202245,0,14,62,1,TRUE,30,1,1,1,TRUE,TRUE,high_3,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
792,"['low', 6]",6,white,45,left,up,low,white_low_45_up,black_low_135_up,1,1.900282673,left,0.3590623,1,1,79,1,FALSE,24,1,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
793,"['low', 4]",4,black,45,right,down,low,black_low_45_down,white_low_135_down,3,1.734477438,right,0.9354225,1,3,78,1,TRUE,26,1,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
794,"['low', 6]",6,white,45,left,up,low,white_low_45_up,black_low_135_up,1,1.192718655,left,0.4682326,1,1,80,1,FALSE,24,1,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
795,"['high', 6]",6,black,135,left,down,high,black_high_135_down,white_high_45_down,11,1.435380107,left,0.2041986,1,11,77,1,TRUE,29,1,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
796,"['low', 1]",1,white,135,right,down,low,white_low_135_down,black_low_45_down,21,1.151576607,right,0.3472012,1,21,67,1,TRUE,30,1,1,1,TRUE,TRUE,low_1,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
797,"['high', 6]",6,black,45,right,up,high,black_high_45_up,white_high_135_up,10,1.458408105,right,0.0270881,1,10,78,1,FALSE,29,1,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
798,"['high', 1]",1,black,135,left,up,high,black_high_135_up,white_high_45_up,21,1.539144527,left,0.8619679,1,21,79,0,TRUE,30,1,1,1,TRUE,TRUE,high_1,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
799,"['high', 4]",4,white,135,right,up,high,white_high_135_up,black_high_45_up,12,1.553009772,right,0.2256701,1,12,76,0,TRUE,27,1,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
800,"['high', 1]",1,black,45,right,up,high,black_high_45_up,white_high_135_up,21,1.701420979,right,0.4201161,1,21,79,0,TRUE,30,1,1,1,TRUE,TRUE,high_1,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
801,"['low', 3]",3,white,45,left,up,low,white_low_45_up,black_low_135_up,1,1.578144976,left,0.3731742,1,1,75,1,FALSE,28,1,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
802,"['low', 1]",1,white,135,right,up,low,white_low_135_up,black_low_45_up,21,1.497278031,right,0.2242537,1,21,67,1,TRUE,30,1,1,1,TRUE,TRUE,low_1,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
803,"['high', 6]",6,white,135,right,up,high,white_high_135_up,black_high_45_up,9,1.702394252,right,0.2207402,1,9,79,1,FALSE,29,1,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
