trial_number,trial_type,cycle_number,first_color,phase,first_orientation,correct_response,visual_field,spatial_frequency,mask_type,mask_images,first_stim,second_stim,stimulus_frame_duration,fixation_duration,mask_start,mask_end,mask_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,staircase_reversal,staircase_reversal_num,threshold_low1_mask_low,threshold_low2_mask_low,threshold_low3_mask_low,threshold_high1_mask_low,threshold_high2_mask_low,threshold_high3_mask_low,threshold_low1_mask_high,threshold_low2_mask_high,threshold_low3_mask_high,threshold_high1_mask_high,threshold_high2_mask_high,threshold_high3_mask_high,threshold_med1_mask_low,threshold_med2_mask_low,threshold_med3_mask_low,threshold_med1_mask_high,threshold_med2_mask_high,threshold_med3_mask_high,frame_rate,participant,psychopyVersion,frame_rate_detected
1109,"['low', 3, 'low']",3,black,0.705776093,45,right,down,low,low,black_low_45-white_low_45-black_low_135-white_low_135,black_low_45_down,white_low_135_down,3,1.962977954,4376.387513,4376.634229,0.2467155,right,0.0412268,1,3,60,1,1,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,FALSE,23,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1110,"['med', 1, 'high']",1,white,0.471359989,45,left,up,med,high,white_high_135-white_high_135-black_high_45-black_high_135,white_med_45_up,black_med_135_up,19,1.598221034,4379.016393,4379.266691,0.2502978,left,0.0584968,1,19,65,0,1,1,1,TRUE,FALSE,med_1_mask_high,0.75,-1,3,TRUE,29,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1111,"['high', 2, 'high']",2,white,0.01328324,45,left,down,high,high,black_high_45-white_high_135-white_high_135-black_high_135,white_high_45_down,black_high_135_down,11,1.526613647,4381.641326,4381.891621,0.2502946,left,0.1345995,1,11,61,1,1,1,1,TRUE,FALSE,high_2_mask_high,0.75,-1,3,FALSE,23,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1112,"['low', 3, 'high']",3,black,0.509231972,45,right,up,low,high,white_high_135-black_high_45-black_high_135-white_high_135,black_low_45_up,white_low_135_up,2,1.703790124,4384.345078,4384.593594,0.248516,right,0.1323803,1,2,59,1,1,1,1,TRUE,FALSE,low_3_mask_high,0.75,-1,3,FALSE,21,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1113,"['high', 3, 'low']",3,white,0.44476992,45,left,up,high,low,black_low_45-white_low_45-white_low_135-black_low_135,white_high_45_up,black_high_135_up,8,1.997354979,4387.551964,4387.800504,0.24854,left,0.1453865,1,8,56,0,1,1,1,TRUE,FALSE,high_3_mask_low,0.75,-1,3,TRUE,22,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1114,"['low', 3, 'high']",3,black,0.207834204,45,right,up,low,high,black_high_135-black_high_45-white_high_135-white_high_135,black_low_45_up,white_low_135_up,1,1.470214194,4389.99503,4390.243574,0.2485439,left,0.1786108,0,1,60,1,1,1,1,TRUE,FALSE,low_3_mask_high,0.75,-1,3,TRUE,22,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1115,"['high', 3, 'low']",3,white,0.163760526,45,left,down,high,low,black_low_135-black_low_45-white_low_45-white_low_135,white_high_45_down,black_high_135_down,7,1.511652518,4392.729366,4392.977919,0.2485526,left,0.2946941,1,7,57,1,1,1,1,TRUE,FALSE,high_3_mask_low,0.75,-1,3,FALSE,22,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1116,"['med', 3, 'high']",3,black,0.799085831,45,right,down,med,high,black_high_135-white_high_135-white_high_135-black_high_45,black_med_45_down,white_med_135_down,6,1.78641602,4395.814736,4396.063278,0.2485427,right,0.0910728,1,6,70,1,1,1,1,TRUE,FALSE,med_3_mask_high,0.75,-1,3,FALSE,23,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1117,"['low', 1, 'high']",1,white,0.786936259,45,left,down,low,high,black_high_135-white_high_135-black_high_45-white_high_135,white_low_45_down,black_low_135_down,13,1.953657196,4398.781238,4399.027967,0.2467283,left,0.5716911,1,13,63,0,1,1,1,TRUE,FALSE,low_1_mask_high,0.75,-1,3,TRUE,24,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1118,"['high', 1, 'high']",1,black,0.275607214,135,left,up,high,high,black_high_45-white_high_135-white_high_135-black_high_135,black_high_135_up,white_high_45_up,16,1.369330897,4401.676882,4401.925435,0.2485531,left,0.328956,1,16,60,0,1,1,1,TRUE,FALSE,high_1_mask_high,0.75,-1,3,TRUE,24,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1119,"['high', 3, 'low']",3,white,0.619054712,135,right,up,high,low,white_low_135-black_low_45-black_low_135-white_low_45,white_high_135_up,black_high_45_up,6,1.838175313,4404.847406,4405.095947,0.248541,right,0.2234969,1,6,58,1,1,1,1,TRUE,FALSE,high_3_mask_low,0.75,-1,3,FALSE,22,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1120,"['high', 2, 'low']",2,white,0.943283733,45,left,down,high,low,white_low_45-white_low_135-black_low_135-black_low_45,white_high_45_down,black_high_135_down,6,1.036549498,4407.023733,4407.272276,0.2485431,left,0.2044208,1,6,62,1,1,1,1,TRUE,FALSE,high_2_mask_low,0.75,-1,3,FALSE,20,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1121,"['high', 3, 'high']",3,white,0.635200794,135,right,down,high,high,white_high_135-black_high_45-white_high_135-black_high_135,white_high_135_down,black_high_45_down,10,1.85274705,4410.230932,4410.479481,0.2485493,right,1.1832607,1,10,62,1,1,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,FALSE,19,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1122,"['high', 3, 'high']",3,black,0.380959212,135,left,down,high,high,black_high_135-black_high_45-white_high_135-white_high_135,black_high_135_down,white_high_45_down,9,1.863561755,4414.39564,4414.644203,0.2485629,left,0.265644,1,9,63,1,1,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,FALSE,19,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1123,"['high', 1, 'low']",1,black,0.020853905,45,right,up,high,low,white_low_45-white_low_135-black_low_135-black_low_45,black_high_45_up,white_high_135_up,13,1.480688579,4417.068795,4417.317344,0.2485483,left,0.1530843,0,13,71,1,1,1,1,TRUE,FALSE,high_1_mask_low,0.75,-1,3,TRUE,29,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1124,"['high', 2, 'high']",2,white,0.224848051,135,right,down,high,high,white_high_135-black_high_45-white_high_135-black_high_135,white_high_135_down,black_high_45_down,10,1.373051665,4419.61491,4419.863453,0.2485425,right,0.2079971,1,10,62,1,1,1,1,TRUE,FALSE,high_2_mask_high,0.75,-1,3,FALSE,23,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1125,"['med', 2, 'high']",2,white,0.096943989,135,right,up,med,high,white_high_135-white_high_135-black_high_135-black_high_45,white_med_135_up,black_med_45_up,11,1.137844412,4422.003425,4422.251971,0.2485463,right,0.0708303,1,11,53,1,1,1,1,TRUE,FALSE,med_2_mask_high,0.75,-1,3,FALSE,18,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1126,"['med', 3, 'high']",3,white,0.088370221,45,left,up,med,high,white_high_135-black_high_45-white_high_135-black_high_135,white_med_45_up,black_med_135_up,5,1.113945938,4424.16156,4424.410107,0.2485473,left,0.1491281,1,5,71,1,1,1,1,TRUE,FALSE,med_3_mask_high,0.75,-1,3,FALSE,23,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1127,"['med', 2, 'high']",2,white,0.074997565,45,left,down,med,high,black_high_135-white_high_135-black_high_45-white_high_135,white_med_45_down,black_med_135_down,10,1.017282221,4426.35002,4426.59856,0.2485406,left,0.1245305,1,10,54,1,1,1,1,TRUE,FALSE,med_2_mask_high,0.75,-1,3,FALSE,18,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1128,"['med', 2, 'low']",2,black,0.14832565,45,right,up,med,low,black_low_135-white_low_45-white_low_135-black_low_45,black_med_45_up,white_med_135_up,9,1.297137596,4428.768836,4429.019158,0.2503221,right,0.0930241,1,9,59,1,1,1,1,TRUE,FALSE,med_2_mask_low,0.75,-1,3,FALSE,20,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1129,"['med', 2, 'high']",2,white,0.328957306,135,right,down,med,high,black_high_135-white_high_135-black_high_45-white_high_135,white_med_135_down,black_med_45_down,9,1.333768945,4431.193702,4431.442243,0.2485413,right,0.1888547,1,9,55,1,1,1,1,TRUE,FALSE,med_2_mask_high,0.75,-1,3,FALSE,18,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1130,"['high', 3, 'low']",3,black,0.682921107,45,right,down,high,low,black_low_135-black_low_45-white_low_135-white_low_45,black_high_45_down,white_high_135_down,5,1.572709929,4433.927767,4434.178061,0.2502938,left,0.2048438,0,5,59,1,1,1,1,TRUE,FALSE,high_3_mask_low,0.75,-1,3,TRUE,23,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1131,"['low', 1, 'high']",1,white,0.05097871,135,right,up,low,high,white_high_135-black_high_135-black_high_45-white_high_135,white_low_135_up,black_low_45_up,12,1.645346058,4436.687824,4436.934594,0.2467698,right,0.2132628,1,12,64,1,1,1,1,TRUE,FALSE,low_1_mask_high,0.75,-1,3,FALSE,24,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
