trial_number,trial_type,cycle_number,first_color,phase,first_orientation,correct_response,visual_field,spatial_frequency,mask_type,mask_images,first_stim,second_stim,stimulus_frame_duration,fixation_duration,mask_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,staircase_reversal,staircase_reversal_num,threshold_low1_mask_low,threshold_low2_mask_low,threshold_low3_mask_low,threshold_low1_mask_high,threshold_low2_mask_high,threshold_low3_mask_high,threshold_high1_mask_low,threshold_high2_mask_low,threshold_high3_mask_low,threshold_high1_mask_high,threshold_high2_mask_high,threshold_high3_mask_high,threshold_med1_mask_low,threshold_med2_mask_low,threshold_med3_mask_low,threshold_med1_mask_high,threshold_med2_mask_high,threshold_med3_mask_high,frame_rate,participant,psychopyVersion,frame_rate_detected
527,"['med', 1, 'low']",1,white,0.03755244,45,left,up,med,low,black_low_45-white_low_135-white_low_45-black_low_135,white_med_45_up,black_med_135_up,25,1.296240625,0.2485409,left,0.0467761,1,25,35,0,1,1,1,TRUE,FALSE,med_1_mask_low,0.75,-1,3,TRUE,15,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
528,"['high', 1, 'high']",1,black,0.101318918,135,left,up,high,high,black_high_45-white_high_135-black_high_135-white_high_135,black_high_135_up,white_high_45_up,15,1.889138967,0.2467419,left,0.1947436,1,15,25,1,1,1,1,TRUE,FALSE,high_1_mask_high,0.75,-1,3,FALSE,12,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
529,"['low', 1, 'low']",1,black,0.236918835,45,right,down,low,low,white_low_45-black_low_135-white_low_135-black_low_45,black_low_45_down,white_low_135_down,20,1.697366211,0.2467832,left,0.0301207,0,20,32,1,1,1,1,TRUE,FALSE,low_1_mask_low,0.75,-1,3,TRUE,17,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
530,"['low', 2, 'high']",2,black,0.557560074,135,left,up,low,high,black_high_135-white_high_135-white_high_135-black_high_45,black_low_135_up,white_low_45_up,5,1.340798872,0.2485468,left,0.0921702,1,5,34,1,1,1,1,TRUE,FALSE,low_2_mask_high,0.75,-1,3,FALSE,14,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
531,"['high', 2, 'high']",2,white,0.592251529,45,left,up,high,high,white_high_135-white_high_135-black_high_45-black_high_135,white_high_45_up,black_high_135_up,9,1.102693361,0.2485608,left,0.0074172,1,9,27,1,1,1,1,TRUE,FALSE,high_2_mask_high,0.75,-1,3,FALSE,14,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
532,"['med', 2, 'high']",2,black,0.649103317,45,right,down,med,high,white_high_135-black_high_45-white_high_135-black_high_135,black_med_45_down,white_med_135_down,8,1.86950795,0.2467923,left,0.0206819,0,8,32,1,1,1,1,TRUE,FALSE,med_2_mask_high,0.75,-1,3,TRUE,15,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
533,"['high', 3, 'low']",3,black,0.551628542,135,left,down,high,low,white_low_135-black_low_45-black_low_135-white_low_45,black_high_135_down,white_high_45_down,15,1.116142725,0.2485382,left,0.0193305,1,15,29,1,1,1,1,TRUE,FALSE,high_3_mask_low,0.75,-1,3,FALSE,14,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
534,"['low', 3, 'low']",3,black,0.392478003,135,left,up,low,low,white_low_45-black_low_135-black_low_45-white_low_135,black_low_135_up,white_low_45_up,4,1.082273214,0.2485485,left,0.1203553,1,4,27,1,1,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,FALSE,10,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
535,"['med', 3, 'low']",3,white,0.762233292,45,left,up,med,low,black_low_45-white_low_45-white_low_135-black_low_135,white_med_45_up,black_med_135_up,6,1.651629388,0.2467815,left,0.5164655,1,6,27,0,1,1,1,TRUE,FALSE,med_3_mask_low,0.75,-1,3,TRUE,10,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
536,"['med', 2, 'low']",2,white,0.926609256,45,left,down,med,low,white_low_135-black_low_135-white_low_45-black_low_45,white_med_45_down,black_med_135_down,9,1.726803521,0.2485544,left,0.33464,1,9,31,1,1,1,1,TRUE,FALSE,med_2_mask_low,0.75,-1,3,FALSE,16,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
