trial_number,trial_type,cycle_number,first_color,phase,first_orientation,correct_response,visual_field,spatial_frequency,mask_type,mask_images,first_stim,second_stim,stimulus_frame_duration,fixation_duration,mask_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,staircase_reversal,staircase_reversal_num,threshold_low1_mask_low,threshold_low2_mask_low,threshold_low3_mask_low,threshold_high1_mask_low,threshold_high2_mask_low,threshold_high3_mask_low,threshold_low1_mask_high,threshold_low2_mask_high,threshold_low3_mask_high,threshold_high1_mask_high,threshold_high2_mask_high,threshold_high3_mask_high,threshold_med1_mask_low,threshold_med2_mask_low,threshold_med3_mask_low,threshold_med1_mask_high,threshold_med2_mask_high,threshold_med3_mask_high,frame_rate,participant,psychopyVersion,frame_rate_detected
1382,"['low', 2, 'high']",2,black,0.489083201,45,right,down,low,high,black_high_135-black_high_45-white_high_135-white_high_135,black_low_45_down,white_low_135_down,6,1.078155543,0.2485348,right,0.0267096,1,6,64,1,1,1,1,TRUE,TRUE,low_2_mask_high,0.75,-1,3,TRUE,30,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
1383,"['med', 2, 'low']",2,white,0.67008182,135,right,up,med,low,white_low_135-black_low_135-white_low_45-black_low_45,white_med_135_up,black_med_45_up,14,1.017903453,0.2502985,right,0.0472456,1,14,66,0,1,1,1,TRUE,TRUE,med_2_mask_low,0.75,-1,3,TRUE,30,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
1384,"['high', 1, 'high']",1,black,0.756522009,135,left,down,high,high,black_high_45-white_high_135-white_high_135-black_high_135,black_high_135_down,white_high_45_down,21,1.934082795,0.2485479,right,0.1146042,0,21,75,0,1,1,1,TRUE,TRUE,high_1_mask_high,0.75,-1,3,TRUE,30,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
1385,"['med', 3, 'low']",3,black,0.502279487,135,left,down,med,low,black_low_45-black_low_135-white_low_45-white_low_135,black_med_135_down,white_med_45_down,9,1.395307803,0.2488227,left,0.0645026,1,9,71,1,1,1,1,TRUE,TRUE,med_3_mask_low,0.75,-1,3,TRUE,30,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
1386,"['high', 1, 'high']",1,black,0.472315689,135,left,down,high,high,black_high_45-white_high_135-white_high_135-black_high_135,black_high_135_down,white_high_45_down,21,1.6678112,0.2485533,left,0.3148888,1,21,75,0,1,1,1,TRUE,TRUE,high_1_mask_high,0.75,-1,3,TRUE,30,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
1387,"['high', 1, 'high']",1,white,0.113848473,135,right,up,high,high,white_high_135-black_high_135-black_high_45-white_high_135,white_high_135_up,black_high_45_up,21,1.576292601,0.2467779,right,0.224246,1,21,75,0,1,1,1,TRUE,TRUE,high_1_mask_high,0.75,-1,3,TRUE,30,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
1388,"['low', 2, 'high']",2,black,0.028169852,135,left,down,low,high,white_high_135-white_high_135-black_high_135-black_high_45,black_low_135_down,white_low_45_down,6,1.673131044,0.250326,left,0.0287867,1,6,64,1,1,1,1,TRUE,TRUE,low_2_mask_high,0.75,-1,3,TRUE,30,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
1389,"['low', 2, 'low']",2,white,0.527134047,45,left,down,low,low,black_low_45-white_low_45-white_low_135-black_low_135,white_low_45_down,black_low_135_down,6,1.657409258,0.2467695,left,0.1101134,1,6,73,1,1,1,1,TRUE,FALSE,low_2_mask_low,0.75,-1,3,FALSE,29,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
1390,"['high', 3, 'low']",3,white,0.350288741,135,right,down,high,low,black_low_135-white_low_45-black_low_45-white_low_135,white_high_135_down,black_high_45_down,15,1.545673834,0.2485494,right,0.4750698,1,15,65,1,1,1,1,TRUE,TRUE,high_3_mask_low,0.75,-1,3,TRUE,30,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
1391,"['high', 3, 'low']",3,white,0.059769876,135,right,down,high,low,white_low_45-black_low_135-white_low_135-black_low_45,white_high_135_down,black_high_45_down,15,1.950386795,0.2485419,right,0.4906478,1,15,65,1,1,1,1,TRUE,TRUE,high_3_mask_low,0.75,-1,3,TRUE,30,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
